NAICs;METRO;STATE;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
811212;Dothan, AL;AL;40337;40565;27916;22743;0;0;0;0;0;0;*
811213;Dothan, AL;AL;0;0;0;0;0;0;0;0;0;0;*
10;Florence-Muscle Shoals, AL;AL;185960;175652;179512;175284;164704;158596;153638;154005;144081;139745;134127
11;Florence-Muscle Shoals, AL;AL;33750;31441;31611;29351;26033;29680;27907;27766;0;0;23523
423430;Florence-Muscle Shoals, AL;AL;*;*;0;0;0;0;*;*;*;*;*
425110;Florence-Muscle Shoals, AL;AL;*;*;0;0;0;0;0;0;0;0;*
443120;Florence-Muscle Shoals, AL;AL;0;0;0;0;0;0;0;0;0;0;*
454111;Florence-Muscle Shoals, AL;AL;0;0;0;0;0;0;0;*;*;*;*
51;Florence-Muscle Shoals, AL;AL;36588;38398;38125;35787;35176;33258;31769;30481;29797;29170;28833
518;Florence-Muscle Shoals, AL;AL;*;*;*;0;0;0;0;0;0;0;*
52;Florence-Muscle Shoals, AL;AL;42229;40850;42004;41003;40458;39975;38865;37312;35176;33406;32111
54151;Florence-Muscle Shoals, AL;AL;29307;26899;24958;22350;23924;0;0;0;39486;0;28232
611420;Florence-Muscle Shoals, AL;AL;0;0;0;*;*;*;*;*;*;*;*
811212;Florence-Muscle Shoals, AL;AL;0;*;*;0;0;0;0;*;*;*;*
811213;Florence-Muscle Shoals, AL;AL;0;0;0;0;0;0;0;0;*;*;*
10;Gadsden, AL;AL;155870;160879;157394;153510;147900;141567;139521;134104;130289;125468;114821
11;Gadsden, AL;AL;28200;25449;0;0;0;0;0;0;0;0;*
423430;Gadsden, AL;AL;0;0;0;0;0;0;0;0;0;0;*
425110;Gadsden, AL;AL;*;*;*;*;*;*;*;*;0;0;*
443120;Gadsden, AL;AL;26854;27206;24539;24959;25594;24797;25044;23112;24455;27035;22732
454111;Gadsden, AL;AL;0;0;0;0;0;*;0;0;*;*;*
51;Gadsden, AL;AL;36515;35238;37221;33125;32748;31499;30060;32476;35658;34337;29077
518;Gadsden, AL;AL;0;0;0;0;0;0;0;0;0;0;*
519130;Gadsden, AL;AL;*;*;0;*;*;*;*;*;*;*;*
52;Gadsden, AL;AL;40132;39186;39672;40348;40862;39415;37290;36389;35598;33207;31934
522320;Gadsden, AL;AL;*;*;0;0;0;0;0;0;0;*;*
54151;Gadsden, AL;AL;0;0;36622;0;43985;0;0;0;0;0;*
611420;Gadsden, AL;AL;*;*;*;*;0;0;*;*;*;*;*
811212;Gadsden, AL;AL;0;0;0;0;0;*;*;0;0;0;*
811213;Gadsden, AL;AL;0;0;0;0;0;0;0;0;0;0;*
10;Huntsville, AL;AL;229969;226634;221260;214919;203967;191931;182252;177820;170863;161311;156177
11;Huntsville, AL;AL;0;0;0;0;33155;0;0;0;0;0;*
323115;Huntsville, AL;AL;35545;34832;37008;0;0;0;0;0;0;0;*
33411;Huntsville, AL;AL;60408;68196;62581;60115;70514;61768;61268;54006;55618;52376;51465
334611;Huntsville, AL;AL;0;0;0;0;80700;71397;68393;0;0;0;*
423430;Huntsville, AL;AL;100475;98729;83045;91226;86912;79396;80013;75655;70453;68478;64554
425110;Huntsville, AL;AL;0;0;0;0;0;53879;50200;43471;38457;43610;69941
443120;Huntsville, AL;AL;0;0;0;0;0;0;0;0;0;32914;*
454111;Huntsville, AL;AL;0;0;0;0;33756;31982;0;0;0;30657;*
51;Huntsville, AL;AL;47476;47291;45982;44955;46358;45905;44809;45174;43663;42794;39833
511210;Huntsville, AL;AL;0;0;0;0;60061;57611;61802;45548;57613;59326;*
518;Huntsville, AL;AL;0;0;0;0;53524;0;0;0;0;0;*
519130;Huntsville, AL;AL;0;0;48494;0;*;*;*;*;*;*;*
52;Huntsville, AL;AL;52318;51088;49598;50154;49633;45982;45562;44240;41496;38978;39136
522320;Huntsville, AL;AL;0;0;0;0;0;0;0;*;0;0;*
54151;Huntsville, AL;AL;91355;86777;83950;80157;77106;74494;72178;68670;65088;62516;60441
611420;Huntsville, AL;AL;46856;43790;56161;0;0;0;0;0;0;0;*
811212;Huntsville, AL;AL;0;0;0;50418;57401;52173;61380;0;0;0;*
811213;Huntsville, AL;AL;0;0;0;38687;35915;35623;30760;34863;31248;27906;29304
10;Mobile, AL;AL;190751;189668;186437;179522;173374;164678;158755;150781;146259;141108;135312
11;Mobile, AL;AL;29531;29117;29637;29314;29089;28124;26033;25336;24996;24633;22842
323115;Mobile, AL;AL;0;0;0;0;*;*;*;*;*;*;*
33411;Mobile, AL;AL;0;0;0;0;0;0;0;0;0;49936;*
334611;Mobile, AL;AL;*;*;*;*;*;*;*;*;*;0;*
423430;Mobile, AL;AL;0;0;0;0;0;0;0;0;0;0;*
425110;Mobile, AL;AL;0;0;0;0;0;0;0;0;0;0;*
443120;Mobile, AL;AL;0;0;0;0;0;0;33519;33011;37455;38665;37539
454111;Mobile, AL;AL;26114;26404;0;0;0;0;0;0;0;0;*
51;Mobile, AL;AL;50412;47027;47034;45484;45394;43586;41535;39322;39612;37355;35178
511210;Mobile, AL;AL;0;0;0;0;0;0;0;0;0;0;*
518;Mobile, AL;AL;49558;47890;48179;36041;36612;32614;31537;31274;31066;29632;30014
519130;Mobile, AL;AL;44948;0;0;0;*;*;*;*;*;*;*
52;Mobile, AL;AL;62688;77118;60554;67291;90879;58381;46137;44457;41369;40128;37814
522320;Mobile, AL;AL;40354;0;0;38175;40553;28967;30517;28251;25743;23336;*
54151;Mobile, AL;AL;56952;57450;57052;56066;50739;50550;50739;50201;51929;43594;44010
611420;Mobile, AL;AL;0;0;0;0;0;0;0;0;0;0;*
811212;Mobile, AL;AL;50374;48200;45220;39888;36387;56042;57481;57110;53906;52673;50751
811213;Mobile, AL;AL;34974;34558;37987;44055;43501;50119;0;61248;0;0;*
10;Montgomery, AL;AL;181159;178776;174754;168692;161169;151861;147659;144056;138982;132655;127919
11;Montgomery, AL;AL;32457;0;0;0;31182;30512;29861;0;22937;0;20759
323115;Montgomery, AL;AL;0;0;0;0;0;0;0;0;0;0;*
33411;Montgomery, AL;AL;0;0;0;0;0;0;0;0;0;0;*
334611;Montgomery, AL;AL;*;*;*;*;*;*;*;*;*;0;*
423430;Montgomery, AL;AL;0;0;0;0;0;0;0;66157;64731;0;61230
425110;Montgomery, AL;AL;0;0;0;0;0;0;0;0;0;0;*
443120;Montgomery, AL;AL;49944;0;0;0;0;0;0;48073;0;0;*
454111;Montgomery, AL;AL;0;0;0;0;0;0;0;0;0;0;*
51;Montgomery, AL;AL;0;0;0;0;0;0;0;0;0;0;*
511210;Montgomery, AL;AL;0;0;0;0;0;0;0;0;0;0;*
518;Montgomery, AL;AL;0;0;0;0;38573;28936;40615;38752;34790;0;23499
519130;Montgomery, AL;AL;0;52226;0;0;*;*;*;*;*;*;*
52;Montgomery, AL;AL;54425;53322;59614;55134;54064;50706;49995;48073;46368;43230;*
522320;Montgomery, AL;AL;0;0;0;0;0;28103;0;0;50371;0;*
54151;Montgomery, AL;AL;0;0;0;0;59659;0;0;58840;0;0;*
611420;Montgomery, AL;AL;*;*;*;*;*;0;0;0;0;0;*
811212;Montgomery, AL;AL;0;0;46704;51079;0;0;0;0;0;0;*
811213;Montgomery, AL;AL;0;0;0;0;*;0;0;0;0;0;*
10;Tuscaloosa, AL;AL;179822;184664;176527;168637;162809;153445;147077;140234;136483;134380;126682
11;Tuscaloosa, AL;AL;33454;0;0;0;0;0;24099;24024;0;0;*
334611;Tuscaloosa, AL;AL;0;0;*;*;*;*;*;*;*;0;*
425110;Tuscaloosa, AL;AL;*;*;*;0;0;0;*;*;*;*;*
443120;Tuscaloosa, AL;AL;36081;41001;37117;36210;35121;53284;36033;35137;35220;35313;32116
454111;Tuscaloosa, AL;AL;0;0;0;0;0;0;0;0;0;0;*
51;Tuscaloosa, AL;AL;0;0;42368;40357;40071;41768;36881;34492;33278;31796;30917
518;Tuscaloosa, AL;AL;0;0;0;0;33752;26817;24912;24031;25420;24037;34277
519130;Tuscaloosa, AL;AL;41772;39979;0;0;*;*;*;*;*;*;*
52;Tuscaloosa, AL;AL;45862;44180;43584;47323;43680;42038;39940;37694;0;36494;33778
522320;Tuscaloosa, AL;AL;*;*;0;0;0;0;0;0;*;*;*
54151;Tuscaloosa, AL;AL;61606;64309;56383;54297;52797;50662;0;0;0;43565;38882
611420;Tuscaloosa, AL;AL;*;*;*;*;*;0;0;0;0;0;*
811212;Tuscaloosa, AL;AL;0;0;0;0;0;0;0;0;0;0;*
811213;Tuscaloosa, AL;AL;0;0;0;0;0;0;0;0;0;0;*
10;Anchorage, AK;AK;118561;115482;113621;112357;104686;102857;99938;94883;92672;88646;84774
11;Anchorage, AK;AK;31629;21379;22764;21506;20747;25578;28436;32738;31916;34618;*
323115;Anchorage, AK;AK;0;0;0;0;0;0;0;0;0;0;*
423430;Anchorage, AK;AK;110986;74127;72523;69732;84585;0;0;0;0;0;*
425110;Anchorage, AK;AK;0;0;79885;0;0;0;0;49409;29542;0;*
443120;Anchorage, AK;AK;0;0;0;0;0;0;0;0;34342;0;35592
454111;Anchorage, AK;AK;0;0;0;0;29628;21994;0;0;0;0;*
51;Anchorage, AK;AK;57070;58428;57171;54183;52284;50700;50123;46752;46320;44940;44782
511210;Anchorage, AK;AK;0;0;51494;0;0;0;0;0;50179;0;*
518;Anchorage, AK;AK;0;0;46264;40459;0;0;0;0;0;0;*
519130;Anchorage, AK;AK;29650;43480;29579;0;*;*;*;*;*;*;*
52;Anchorage, AK;AK;61446;60119;60055;57443;54767;52092;50012;49974;47995;45007;43121
522320;Anchorage, AK;AK;0;0;0;0;0;20514;18998;0;0;0;*
54151;Anchorage, AK;AK;73139;69843;70148;67535;66183;62530;58395;51804;48223;0;*
611420;Anchorage, AK;AK;0;0;0;0;0;0;0;0;0;0;*
811212;Anchorage, AK;AK;44829;48858;46865;43561;41437;0;0;0;0;0;*
811213;Anchorage, AK;AK;49346;0;47320;0;0;0;35799;0;0;0;*
10;Fairbanks, AK;AK;207420;200423;191808;185618;179528;173720;166660;162962;156208;151244;150191
11;Fairbanks, AK;AK;20531;21520;20337;22049;19222;0;19424;15461;0;0;*
323115;Fairbanks, AK;AK;0;0;0;0;0;0;0;*;*;*;*
423430;Fairbanks, AK;AK;0;0;0;0;0;0;0;0;0;0;*
425110;Fairbanks, AK;AK;0;0;0;0;0;0;0;0;0;0;*
443120;Fairbanks, AK;AK;0;0;0;0;0;0;0;0;0;0;*
51;Fairbanks, AK;AK;51090;51013;50480;48542;47525;47921;47233;43070;0;0;37473
511210;Fairbanks, AK;AK;0;0;0;0;0;0;0;0;*;*;*
518;Fairbanks, AK;AK;0;0;0;*;0;0;0;0;0;0;*
52;Fairbanks, AK;AK;50859;48074;45941;45957;44164;41451;39844;39665;37614;36742;37932
522320;Fairbanks, AK;AK;*;*;*;*;0;0;0;*;*;*;*
54151;Fairbanks, AK;AK;69709;72835;66578;64974;69683;72640;63262;43230;37052;35349;38432
611420;Fairbanks, AK;AK;0;0;0;0;0;0;0;0;0;0;*
811212;Fairbanks, AK;AK;0;0;0;0;0;0;0;0;0;0;*
10;Flagstaff, AZ;AZ;178014;178495;175401;173297;164695;157781;77308;73855;67733;65534;62697
11;Flagstaff, AZ;AZ;25681;23955;24211;23156;22117;20432;22840;19895;20257;19661;17628
33411;Flagstaff, AZ;AZ;*;0;0;0;0;0;0;0;0;0;*
334611;Flagstaff, AZ;AZ;*;*;*;*;*;*;*;*;0;0;*
423430;Flagstaff, AZ;AZ;*;*;0;0;0;80918;54930;0;0;98734;*
425110;Flagstaff, AZ;AZ;0;0;0;0;*;*;0;0;0;0;*
443120;Flagstaff, AZ;AZ;40955;0;0;0;0;0;0;0;0;0;*
454111;Flagstaff, AZ;AZ;0;0;32875;0;0;35857;0;42059;0;0;*
51;Flagstaff, AZ;AZ;31428;37781;38597;37835;36786;38453;35256;31487;30436;29991;29515
511210;Flagstaff, AZ;AZ;0;0;*;*;*;*;*;*;*;*;*
518;Flagstaff, AZ;AZ;0;0;0;0;0;0;0;18585;0;0;*
519130;Flagstaff, AZ;AZ;*;*;*;0;*;*;*;*;*;*;*
52;Flagstaff, AZ;AZ;39924;40217;43222;41003;40241;40460;36773;37769;34714;31485;30420
522320;Flagstaff, AZ;AZ;0;0;0;0;0;0;0;0;0;0;*
54151;Flagstaff, AZ;AZ;43119;35809;39771;163510;58443;60204;44825;42438;40842;37859;47461
811212;Flagstaff, AZ;AZ;0;0;0;25308;24898;26101;29347;25360;22721;0;*
811213;Flagstaff, AZ;AZ;0;0;0;0;0;0;0;0;0;0;*
10;Phoenix-Mesa-Scottsdale, AZ;AZ;107646;197907;196407;193689;186532;176427;170657;161076;156239;152172;144471
11;Phoenix-Mesa-Scottsdale, AZ;AZ;28292;27316;28756;26345;24480;22922;22114;20383;20509;19427;18054
323115;Phoenix-Mesa-Scottsdale, AZ;AZ;39100;36389;39973;39075;38341;40451;0;0;38636;35235;30715
33411;Phoenix-Mesa-Scottsdale, AZ;AZ;90892;81360;81235;71886;78143;73714;68093;67656;65573;67746;61572
334611;Phoenix-Mesa-Scottsdale, AZ;AZ;0;0;51113;54440;56540;37345;0;47870;0;62360;*
423430;Phoenix-Mesa-Scottsdale, AZ;AZ;0;0;0;0;0;0;0;0;0;0;*
425110;Phoenix-Mesa-Scottsdale, AZ;AZ;0;0;59190;56699;0;0;0;0;0;0;*
443120;Phoenix-Mesa-Scottsdale, AZ;AZ;61973;0;57502;55562;53325;48699;46764;43886;41636;44632;*
454111;Phoenix-Mesa-Scottsdale, AZ;AZ;0;0;0;0;0;49100;49748;0;0;42541;46839
51;Phoenix-Mesa-Scottsdale, AZ;AZ;59218;58360;56489;55208;53042;49254;46379;44169;43737;44426;47873
511210;Phoenix-Mesa-Scottsdale, AZ;AZ;87888;0;0;0;81348;75862;71134;73407;74355;69943;66510
518;Phoenix-Mesa-Scottsdale, AZ;AZ;0;0;0;0;56697;49969;44802;0;45859;0;*
519130;Phoenix-Mesa-Scottsdale, AZ;AZ;75553;67900;64827;57346;*;*;*;*;*;*;*
52;Phoenix-Mesa-Scottsdale, AZ;AZ;60743;58768;60053;61007;60089;58069;53180;51041;48140;47252;43895
522320;Phoenix-Mesa-Scottsdale, AZ;AZ;0;0;0;40366;39546;38221;37012;36200;33030;32415;28841
54151;Phoenix-Mesa-Scottsdale, AZ;AZ;76426;76842;76738;75526;68068;67282;66047;65754;67095;0;*
611420;Phoenix-Mesa-Scottsdale, AZ;AZ;0;0;0;0;0;0;0;0;0;0;*
811212;Phoenix-Mesa-Scottsdale, AZ;AZ;0;0;0;0;0;46084;44387;43489;39291;40591;44903
811213;Phoenix-Mesa-Scottsdale, AZ;AZ;0;0;0;0;0;0;0;0;0;0;*
10;Prescott, AZ;AZ;164982;164560;169069;162996;155457;147725;79206;75275;71137;67717;65344
11;Prescott, AZ;AZ;28526;30087;28475;28869;25143;22554;21063;18840;19205;20222;19665
323115;Prescott, AZ;AZ;0;0;0;0;0;*;*;*;*;*;*
423430;Prescott, AZ;AZ;31255;0;40147;0;36010;42584;44838;49570;43897;53661;*
425110;Prescott, AZ;AZ;*;*;0;0;0;0;0;0;0;42357;*
443120;Prescott, AZ;AZ;32869;0;0;0;0;0;0;0;0;0;*
454111;Prescott, AZ;AZ;0;20743;0;0;34476;0;0;0;0;*;*
51;Prescott, AZ;AZ;36206;38850;40134;39110;38248;43740;33367;32484;31660;31349;30649
511210;Prescott, AZ;AZ;0;0;0;90749;0;68578;70586;49825;54012;69759;*
518;Prescott, AZ;AZ;0;0;0;0;30991;32823;28622;24173;25400;20564;32527
519130;Prescott, AZ;AZ;0;77957;63266;25258;*;*;*;*;*;*;*
52;Prescott, AZ;AZ;41019;41274;44233;45772;45109;42695;39635;37442;33895;34313;32354
522320;Prescott, AZ;AZ;53956;37247;36841;35720;0;0;0;0;0;0;*
54151;Prescott, AZ;AZ;46956;45587;44798;40114;33073;31414;39939;36483;32997;45864;38112
611420;Prescott, AZ;AZ;0;0;0;0;*;*;*;*;*;*;*
811212;Prescott, AZ;AZ;27583;0;0;23935;0;0;0;0;0;0;*
811213;Prescott, AZ;AZ;0;0;0;0;0;0;0;0;0;0;*
10;Tucson, AZ;AZ;190697;194468;195106;186868;181130;172320;88421;84497;81716;78225;73410
11;Tucson, AZ;AZ;28054;26768;26404;28458;27914;25912;25521;23566;21401;20737;20643
323115;Tucson, AZ;AZ;36378;36147;38928;41329;37588;0;0;0;0;0;*
33411;Tucson, AZ;AZ;0;0;0;74141;0;0;88073;83874;83678;78616;74491
334611;Tucson, AZ;AZ;0;0;0;0;0;0;0;0;0;66878;*
423430;Tucson, AZ;AZ;81463;84205;95656;93752;81552;70782;68205;70781;70116;60775;73413
425110;Tucson, AZ;AZ;36163;48159;40314;40497;60266;47177;32660;37229;40067;39875;43528
443120;Tucson, AZ;AZ;0;0;0;56607;54953;47853;42710;38983;33756;32266;*
454111;Tucson, AZ;AZ;21734;30015;35734;37245;0;0;0;0;0;0;*
51;Tucson, AZ;AZ;55017;52247;51900;52447;50465;48124;47830;44917;42161;42583;44161
511210;Tucson, AZ;AZ;89924;79637;75100;68513;65052;61190;59524;59089;54647;55747;47556
518;Tucson, AZ;AZ;60455;58051;47919;52123;50757;41987;43251;36316;34627;39873;59272
519130;Tucson, AZ;AZ;65211;66868;61068;61288;*;*;*;*;*;*;*
52;Tucson, AZ;AZ;49946;46917;48475;52218;55212;55818;49073;52018;46427;44147;40116
522320;Tucson, AZ;AZ;40028;38260;38772;37409;41352;0;34423;29599;0;0;*
54151;Tucson, AZ;AZ;85849;85196;84412;85713;61860;57906;53279;56270;52637;54406;44346
611420;Tucson, AZ;AZ;0;0;35387;38019;35882;33790;31879;0;37749;35680;*
811212;Tucson, AZ;AZ;47525;47903;45767;45446;39096;19691;0;0;24045;20066;*
811213;Tucson, AZ;AZ;36864;61909;73277;79365;70766;59498;0;0;51600;23751;*
10;Yuma, AZ;AZ;167925;172735;169307;163048;154908;148108;76964;71810;69343;64990;60598
11;Yuma, AZ;AZ;23867;22524;21026;0;0;17980;16674;0;0;0;*
323115;Yuma, AZ;AZ;0;0;0;*;*;*;*;*;*;*;*
33411;Yuma, AZ;AZ;0;0;0;0;0;0;0;0;0;0;*
423430;Yuma, AZ;AZ;*;*;*;*;*;*;*;*;0;0;*
425110;Yuma, AZ;AZ;*;*;*;*;0;0;0;0;0;0;*
443120;Yuma, AZ;AZ;0;0;0;0;0;0;0;0;0;0;*
454111;Yuma, AZ;AZ;0;0;0;0;0;*;*;*;*;*;*
51;Yuma, AZ;AZ;34962;37516;48089;45470;43673;42317;41797;41911;37072;35732;40726
518;Yuma, AZ;AZ;0;*;0;0;0;0;0;0;0;0;*
52;Yuma, AZ;AZ;38069;36668;36814;35604;35700;34893;32162;30724;28792;27850;26143
54151;Yuma, AZ;AZ;63341;0;0;0;47207;42250;57765;41671;0;13523;*
611420;Yuma, AZ;AZ;*;*;*;*;*;*;0;0;0;0;*
811212;Yuma, AZ;AZ;35474;0;37038;30662;25462;22964;20926;0;0;0;*
811213;Yuma, AZ;AZ;0;35226;0;0;0;0;0;0;0;0;*
10;Fayetteville-Springdale-Rogers, AR-MO;AR;183027;190424;187132;180903;97813;93780;160092;150229;140439;136137;71698
11;Fayetteville-Springdale-Rogers, AR-MO;AR;43302;37018;36545;36796;37601;0;0;0;0;0;24766
323115;Fayetteville-Springdale-Rogers, AR-MO;AR;0;25488;0;0;0;0;0;33781;0;0;*
33411;Fayetteville-Springdale-Rogers, AR-MO;AR;*;*;*;*;*;*;*;*;*;0;*
423430;Fayetteville-Springdale-Rogers, AR-MO;AR;0;0;0;0;0;0;0;0;0;0;*
425110;Fayetteville-Springdale-Rogers, AR-MO;AR;0;0;0;0;0;0;0;0;37581;0;*
443120;Fayetteville-Springdale-Rogers, AR-MO;AR;0;0;0;0;0;0;0;0;0;0;*
454111;Fayetteville-Springdale-Rogers, AR-MO;AR;0;0;0;0;0;0;0;0;0;0;*
51;Fayetteville-Springdale-Rogers, AR-MO;AR;45483;43940;44866;41246;39604;38460;36206;34021;32425;31483;31194
511210;Fayetteville-Springdale-Rogers, AR-MO;AR;0;0;106977;0;0;0;0;84403;0;0;*
518;Fayetteville-Springdale-Rogers, AR-MO;AR;0;79685;0;0;63391;0;0;32459;0;0;*
519130;Fayetteville-Springdale-Rogers, AR-MO;AR;62175;0;60625;62885;*;*;*;*;*;*;*
52;Fayetteville-Springdale-Rogers, AR-MO;AR;51580;49610;48026;46662;43571;42497;40375;37378;35857;0;*
522320;Fayetteville-Springdale-Rogers, AR-MO;AR;49044;48325;44807;43394;40637;0;0;38933;0;0;*
54151;Fayetteville-Springdale-Rogers, AR-MO;AR;0;0;0;0;0;0;81225;54553;0;0;*
611420;Fayetteville-Springdale-Rogers, AR-MO;AR;88800;0;80328;0;74745;0;0;0;0;0;*
811212;Fayetteville-Springdale-Rogers, AR-MO;AR;0;0;0;40230;0;0;0;34564;0;31176;*
811213;Fayetteville-Springdale-Rogers, AR-MO;AR;28088;0;0;0;0;0;0;0;0;0;*
10;Fort Smith, AR-OK;AR;158633;157044;154844;150084;145004;138580;133957;129440;124327;121257;115188
11;Fort Smith, AR-OK;AR;0;27613;0;0;25434;25165;0;24031;0;0;21731
323115;Fort Smith, AR-OK;AR;*;*;*;*;*;*;0;0;0;0;*
