NAICs;METRO;STATE;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
423430;Florence-Muscle Shoals, AL;AL;*;*;1;1;1;1;*;*;*;*;*
425110;Florence-Muscle Shoals, AL;AL;*;*;1;1;1;1;1;0;0;0;*
443120;Florence-Muscle Shoals, AL;AL;6;6;7;6;7;7;7;0;0;0;*
454111;Florence-Muscle Shoals, AL;AL;4;4;4;3;2;2;2;*;*;*;*
51;Florence-Muscle Shoals, AL;AL;33;36;38;39;47;47;50;45;48;46;46
518;Florence-Muscle Shoals, AL;AL;*;*;*;1;2;1;3;0;0;0;*
52;Florence-Muscle Shoals, AL;AL;225;220;226;222;220;219;216;207;205;210;225
54151;Florence-Muscle Shoals, AL;AL;19;17;17;12;10;9;9;0;9;0;11
611420;Florence-Muscle Shoals, AL;AL;1;1;1;*;*;*;*;*;*;*;*
811212;Florence-Muscle Shoals, AL;AL;1;*;*;1;0;1;1;*;*;*;*
811213;Florence-Muscle Shoals, AL;AL;1;1;1;1;1;1;1;0;*;*;*
10;Gadsden, AL;AL;2127;2163;2263;2293;2259;2282;2231;2200;2223;2190;2205
11;Gadsden, AL;AL;11;11;11;11;12;13;14;0;0;0;*
423430;Gadsden, AL;AL;1;1;1;1;1;1;1;0;0;0;*
425110;Gadsden, AL;AL;*;*;*;*;*;*;*;*;0;0;*
443120;Gadsden, AL;AL;5;5;7;7;7;11;9;9;9;7;7
454111;Gadsden, AL;AL;1;2;2;2;1;*;1;0;*;*;*
51;Gadsden, AL;AL;32;30;36;35;40;39;41;38;33;32;35
518;Gadsden, AL;AL;4;1;1;1;2;3;3;0;0;0;*
519130;Gadsden, AL;AL;*;*;1;*;*;*;*;*;*;*;*
52;Gadsden, AL;AL;142;140;140;145;145;144;146;137;139;136;134
522320;Gadsden, AL;AL;*;*;0;1;1;1;2;0;0;*;*
54151;Gadsden, AL;AL;8;10;12;10;7;4;3;0;0;0;*
611420;Gadsden, AL;AL;*;*;*;*;1;0;*;*;*;*;*
811212;Gadsden, AL;AL;2;2;2;1;1;*;*;0;0;0;*
811213;Gadsden, AL;AL;2;3;2;2;2;2;2;0;0;0;*
10;Huntsville, AL;AL;10088;10155;10278;10005;9594;9406;9029;8746;8649;8568;8622
11;Huntsville, AL;AL;47;46;48;46;47;48;44;0;0;0;*
323115;Huntsville, AL;AL;4;3;3;2;2;2;2;0;0;0;*
33411;Huntsville, AL;AL;5;8;7;8;14;15;14;13;14;14;14
334611;Huntsville, AL;AL;3;4;4;4;5;5;5;0;0;0;*
423430;Huntsville, AL;AL;5;7;13;13;13;15;15;18;19;20;20
425110;Huntsville, AL;AL;11;12;12;11;9;9;9;10;12;12;12
443120;Huntsville, AL;AL;15;14;20;25;28;33;37;0;0;38;*
454111;Huntsville, AL;AL;11;8;9;8;7;6;4;0;0;6;*
51;Huntsville, AL;AL;118;116;118;111;144;146;138;138;138;130;134
511210;Huntsville, AL;AL;6;5;4;4;4;5;5;5;5;5;*
518;Huntsville, AL;AL;16;12;11;12;16;17;16;0;0;0;*
519130;Huntsville, AL;AL;13;10;9;4;*;*;*;*;*;*;*
52;Huntsville, AL;AL;554;568;579;566;523;507;472;445;443;440;471
522320;Huntsville, AL;AL;1;2;1;3;2;3;1;*;0;0;*
54151;Huntsville, AL;AL;417;401;383;340;294;297;294;283;283;277;258
611420;Huntsville, AL;AL;4;4;3;3;3;2;2;0;0;0;*
811212;Huntsville, AL;AL;9;8;9;10;10;11;12;0;0;0;*
811213;Huntsville, AL;AL;8;8;8;7;6;7;6;6;5;6;7
10;Mobile, AL;AL;9848;9830;10120;10003;9847;9788;9661;9512;9462;9593;9895
11;Mobile, AL;AL;72;75;76;73;76;81;81;80;86;82;81
323115;Mobile, AL;AL;1;1;1;1;*;*;*;*;*;*;*
33411;Mobile, AL;AL;1;2;2;2;2;2;2;0;0;3;*
334611;Mobile, AL;AL;*;*;*;*;*;*;*;*;*;0;*
423430;Mobile, AL;AL;4;4;4;4;4;3;3;0;0;0;*
425110;Mobile, AL;AL;2;2;2;2;2;2;2;0;0;0;*
443120;Mobile, AL;AL;13;13;18;20;23;28;28;27;28;27;32
454111;Mobile, AL;AL;5;4;2;1;1;4;3;0;0;0;*
51;Mobile, AL;AL;112;112;121;119;148;143;143;139;145;146;153
511210;Mobile, AL;AL;2;2;2;2;2;2;2;0;0;0;*
518;Mobile, AL;AL;10;11;11;12;16;13;12;14;15;14;15
519130;Mobile, AL;AL;3;3;4;3;*;*;*;*;*;*;*
52;Mobile, AL;AL;650;656;661;646;601;603;583;553;534;550;580
522320;Mobile, AL;AL;4;3;3;4;4;4;5;4;4;3;*
54151;Mobile, AL;AL;108;96;101;93;78;79;75;73;75;81;84
611420;Mobile, AL;AL;1;2;2;2;2;2;2;0;0;0;*
811212;Mobile, AL;AL;4;6;6;5;6;7;6;6;7;9;10
811213;Mobile, AL;AL;6;5;4;5;4;4;4;3;0;0;*
10;Montgomery, AL;AL;8692;8772;9128;9094;8946;8997;8746;8533;8591;8584;8715
11;Montgomery, AL;AL;82;83;87;84;79;87;88;0;93;0;99
323115;Montgomery, AL;AL;1;1;2;2;3;2;2;0;0;0;*
33411;Montgomery, AL;AL;1;2;2;2;1;1;1;0;0;0;*
334611;Montgomery, AL;AL;*;*;*;*;*;*;*;*;*;0;*
423430;Montgomery, AL;AL;5;6;6;6;6;10;10;11;11;0;8
425110;Montgomery, AL;AL;2;2;2;2;1;2;1;0;0;0;*
443120;Montgomery, AL;AL;12;11;13;16;19;22;22;22;0;0;*
454111;Montgomery, AL;AL;6;4;4;3;2;1;1;0;0;0;*
51;Montgomery, AL;AL;108;112;126;125;145;148;150;0;0;0;*
511210;Montgomery, AL;AL;2;1;1;1;2;2;3;0;0;0;*
518;Montgomery, AL;AL;8;5;9;10;15;18;14;12;13;0;19
519130;Montgomery, AL;AL;4;3;1;1;*;*;*;*;*;*;*
52;Montgomery, AL;AL;586;593;595;595;562;552;515;500;501;499;*
522320;Montgomery, AL;AL;2;1;3;4;3;4;5;0;3;0;*
54151;Montgomery, AL;AL;155;158;146;126;107;115;107;101;0;0;*
611420;Montgomery, AL;AL;*;*;*;*;*;1;1;0;0;0;*
811212;Montgomery, AL;AL;10;10;12;11;12;10;8;0;0;0;*
811213;Montgomery, AL;AL;4;2;1;1;*;1;1;0;0;0;*
10;Tuscaloosa, AL;AL;4717;4765;4916;4847;4749;4710;4597;4466;4516;4442;4459
11;Tuscaloosa, AL;AL;80;78;87;86;92;97;96;95;0;0;*
334611;Tuscaloosa, AL;AL;1;1;*;*;*;*;*;*;*;0;*
425110;Tuscaloosa, AL;AL;*;*;*;1;1;1;*;*;*;*;*
443120;Tuscaloosa, AL;AL;6;5;6;5;5;8;9;8;8;6;8
454111;Tuscaloosa, AL;AL;1;3;2;2;2;2;2;0;0;0;*
51;Tuscaloosa, AL;AL;51;49;48;48;62;64;68;67;68;66;62
518;Tuscaloosa, AL;AL;3;1;3;4;7;7;8;9;9;9;6
519130;Tuscaloosa, AL;AL;3;3;3;3;*;*;*;*;*;*;*
52;Tuscaloosa, AL;AL;270;273;268;259;248;233;226;220;0;208;211
522320;Tuscaloosa, AL;AL;*;*;2;2;2;1;1;0;*;*;*
54151;Tuscaloosa, AL;AL;37;39;37;31;28;25;21;0;0;17;17
611420;Tuscaloosa, AL;AL;*;*;*;*;*;0;1;0;0;0;*
811212;Tuscaloosa, AL;AL;1;2;2;2;2;2;1;0;0;0;*
811213;Tuscaloosa, AL;AL;1;1;1;1;1;1;1;0;0;0;*
10;Anchorage, AK;AK;9971;9931;10056;9848;9810;9588;9326;9030;8565;8498;8304
11;Anchorage, AK;AK;33;29;28;29;27;29;24;22;22;21;*
323115;Anchorage, AK;AK;2;2;2;2;1;1;1;0;0;0;*
423430;Anchorage, AK;AK;5;5;5;4;4;5;5;0;0;0;*
425110;Anchorage, AK;AK;4;4;4;2;2;2;3;6;4;0;*
443120;Anchorage, AK;AK;16;15;15;15;15;17;16;0;17;0;19
454111;Anchorage, AK;AK;2;2;2;2;3;3;3;0;0;0;*
51;Anchorage, AK;AK;179;182;175;175;164;156;161;164;155;154;151
511210;Anchorage, AK;AK;2;3;3;3;4;5;5;0;3;0;*
518;Anchorage, AK;AK;19;21;18;18;22;23;23;0;0;0;*
519130;Anchorage, AK;AK;9;6;4;3;*;*;*;*;*;*;*
52;Anchorage, AK;AK;444;453;447;448;440;427;412;426;400;388;384
522320;Anchorage, AK;AK;3;4;5;5;6;5;5;0;0;0;*
54151;Anchorage, AK;AK;144;138;129;121;111;103;91;91;83;0;*
611420;Anchorage, AK;AK;2;2;2;2;2;3;3;0;0;0;*
811212;Anchorage, AK;AK;11;12;13;15;15;16;14;0;0;0;*
811213;Anchorage, AK;AK;3;4;3;4;2;3;3;0;0;0;*
10;Fairbanks, AK;AK;2254;2242;2241;2243;2247;2237;2170;2110;2017;2017;1989
11;Fairbanks, AK;AK;7;5;5;4;5;3;3;3;0;0;*
323115;Fairbanks, AK;AK;1;1;1;1;1;1;1;*;*;*;*
423430;Fairbanks, AK;AK;1;1;1;1;1;1;1;0;0;0;*
425110;Fairbanks, AK;AK;1;1;1;1;2;1;1;0;0;0;*
443120;Fairbanks, AK;AK;4;4;3;5;6;6;5;0;0;0;*
51;Fairbanks, AK;AK;27;26;29;27;21;22;22;27;0;0;25
511210;Fairbanks, AK;AK;1;1;1;1;1;1;1;0;*;*;*
518;Fairbanks, AK;AK;1;1;1;*;2;2;2;0;0;0;*
52;Fairbanks, AK;AK;89;91;90;90;88;89;80;79;78;75;74
522320;Fairbanks, AK;AK;*;*;*;*;0;1;1;*;*;*;*
54151;Fairbanks, AK;AK;28;25;24;28;24;24;23;21;14;14;13
611420;Fairbanks, AK;AK;2;1;1;1;2;2;2;0;0;0;*
811212;Fairbanks, AK;AK;3;2;2;1;1;1;1;0;0;0;*
10;Flagstaff, AZ;AZ;3518;3650;3911;3933;3757;3546;3366;3240;3180;3144;3179
11;Flagstaff, AZ;AZ;18;18;15;16;16;15;15;15;15;12;13
33411;Flagstaff, AZ;AZ;*;1;1;1;1;1;1;0;0;0;*
334611;Flagstaff, AZ;AZ;*;*;*;*;*;*;*;*;0;0;*
423430;Flagstaff, AZ;AZ;*;*;1;2;2;3;3;0;0;4;*
425110;Flagstaff, AZ;AZ;2;2;2;1;*;*;1;0;0;0;*
443120;Flagstaff, AZ;AZ;4;6;7;8;6;6;6;0;0;0;*
454111;Flagstaff, AZ;AZ;9;7;7;8;7;4;2;3;0;0;*
51;Flagstaff, AZ;AZ;39;43;46;48;45;44;47;49;50;47;52
511210;Flagstaff, AZ;AZ;1;1;*;*;*;*;*;*;*;*;*
518;Flagstaff, AZ;AZ;1;2;3;3;7;8;9;9;0;0;*
519130;Flagstaff, AZ;AZ;*;*;*;1;*;*;*;*;*;*;*
52;Flagstaff, AZ;AZ;133;143;153;158;149;146;145;136;123;114;119
522320;Flagstaff, AZ;AZ;1;2;2;2;3;3;3;0;0;0;*
54151;Flagstaff, AZ;AZ;29;32;33;30;27;24;22;22;21;20;19
811212;Flagstaff, AZ;AZ;6;4;4;5;5;4;4;4;3;0;*
811213;Flagstaff, AZ;AZ;1;1;1;1;1;1;1;0;0;0;*
10;Phoenix-Mesa-Scottsdale, AZ;AZ;96113;97163;104311;101413;94824;87616;83331;82502;78937;77519;76394
11;Phoenix-Mesa-Scottsdale, AZ;AZ;549;557;575;580;580;590;603;606;606;624;669
323115;Phoenix-Mesa-Scottsdale, AZ;AZ;23;21;21;14;9;7;5;0;6;10;11
33411;Phoenix-Mesa-Scottsdale, AZ;AZ;19;20;22;22;22;23;21;19;21;24;26
334611;Phoenix-Mesa-Scottsdale, AZ;AZ;11;10;13;11;8;6;8;9;0;16;*
423430;Phoenix-Mesa-Scottsdale, AZ;AZ;222;237;317;340;350;380;453;0;0;0;*
425110;Phoenix-Mesa-Scottsdale, AZ;AZ;85;91;109;116;118;117;136;0;0;0;*
443120;Phoenix-Mesa-Scottsdale, AZ;AZ;207;216;253;266;248;229;231;253;257;273;*
454111;Phoenix-Mesa-Scottsdale, AZ;AZ;195;184;183;163;126;109;95;0;0;65;46
51;Phoenix-Mesa-Scottsdale, AZ;AZ;1472;1468;1665;1651;1533;1462;1541;1590;1617;1579;1441
511210;Phoenix-Mesa-Scottsdale, AZ;AZ;136;109;102;103;97;91;98;105;108;130;158
518;Phoenix-Mesa-Scottsdale, AZ;AZ;212;212;256;251;393;387;443;0;521;0;*
519130;Phoenix-Mesa-Scottsdale, AZ;AZ;83;87;96;79;*;*;*;*;*;*;*
52;Phoenix-Mesa-Scottsdale, AZ;AZ;6242;6310;6916;6873;6206;5615;5502;5300;4865;4681;4772
522320;Phoenix-Mesa-Scottsdale, AZ;AZ;110;107;111;107;96;87;95;105;95;73;88
54151;Phoenix-Mesa-Scottsdale, AZ;AZ;2673;2379;2496;2183;1851;1670;1658;1715;1664;0;*
611420;Phoenix-Mesa-Scottsdale, AZ;AZ;59;62;66;64;61;58;64;0;0;0;*
811212;Phoenix-Mesa-Scottsdale, AZ;AZ;101;107;124;127;112;100;106;105;88;87;90
811213;Phoenix-Mesa-Scottsdale, AZ;AZ;27;26;28;37;38;38;40;0;0;0;*
10;Prescott, AZ;AZ;5431;5714;6294;6353;6050;5586;5199;4934;4676;4504;4363
11;Prescott, AZ;AZ;37;35;37;37;35;31;34;35;31;31;29
323115;Prescott, AZ;AZ;1;2;2;2;0;*;*;*;*;*;*
423430;Prescott, AZ;AZ;3;4;4;4;4;4;4;5;5;5;*
425110;Prescott, AZ;AZ;*;*;1;1;1;1;1;0;0;4;*
443120;Prescott, AZ;AZ;5;7;8;9;11;10;12;0;0;0;*
454111;Prescott, AZ;AZ;8;4;5;4;3;1;2;0;0;*;*
51;Prescott, AZ;AZ;68;67;73;80;78;77;79;79;74;71;74
511210;Prescott, AZ;AZ;1;1;2;3;3;3;3;4;4;3;*
518;Prescott, AZ;AZ;1;1;1;2;8;10;13;13;10;10;9
519130;Prescott, AZ;AZ;6;7;7;5;*;*;*;*;*;*;*
52;Prescott, AZ;AZ;235;241;268;273;252;232;225;224;204;193;182
522320;Prescott, AZ;AZ;3;3;3;3;2;2;1;0;0;0;*
54151;Prescott, AZ;AZ;43;39;35;39;33;29;29;28;27;28;28
611420;Prescott, AZ;AZ;1;1;1;1;*;*;*;*;*;*;*
811212;Prescott, AZ;AZ;4;3;3;4;2;2;1;0;0;0;*
811213;Prescott, AZ;AZ;1;1;1;1;2;1;1;0;0;0;*
10;Tucson, AZ;AZ;19080;19680;20953;20849;19803;18531;17736;17473;16971;16779;16706
11;Tucson, AZ;AZ;59;56;60;55;53;50;50;53;54;54;54
323115;Tucson, AZ;AZ;6;6;4;3;3;2;1;0;0;0;*
33411;Tucson, AZ;AZ;4;4;6;6;7;7;8;7;7;7;7
334611;Tucson, AZ;AZ;2;2;2;3;3;3;6;0;0;8;*
423430;Tucson, AZ;AZ;31;33;31;34;35;34;33;36;36;36;40
425110;Tucson, AZ;AZ;8;10;11;10;10;9;9;11;10;14;14
443120;Tucson, AZ;AZ;28;31;36;40;41;42;45;47;45;51;*
454111;Tucson, AZ;AZ;33;30;29;27;20;16;16;0;0;0;*
51;Tucson, AZ;AZ;272;281;315;325;302;290;290;289;294;273;273
511210;Tucson, AZ;AZ;24;26;29;29;28;25;26;25;27;30;31
518;Tucson, AZ;AZ;20;19;25;31;50;46;48;54;55;50;41
519130;Tucson, AZ;AZ;10;9;9;9;*;*;*;*;*;*;*
52;Tucson, AZ;AZ;1005;1060;1145;1142;1060;979;990;951;861;816;817
522320;Tucson, AZ;AZ;8;7;6;7;10;7;8;7;0;0;*
54151;Tucson, AZ;AZ;256;244;272;264;239;219;213;212;201;203;201
611420;Tucson, AZ;AZ;6;4;5;6;7;6;7;0;6;6;*
811212;Tucson, AZ;AZ;12;15;15;15;14;11;11;0;8;9;*
811213;Tucson, AZ;AZ;6;8;7;6;3;3;3;0;3;4;*
10;Yuma, AZ;AZ;3205;3291;3466;3426;3248;3054;2878;2704;2633;2588;2554
11;Yuma, AZ;AZ;214;217;228;240;236;230;227;0;0;0;*
323115;Yuma, AZ;AZ;1;1;0;*;*;*;*;*;*;*;*
33411;Yuma, AZ;AZ;1;1;1;1;1;1;1;0;0;0;*
423430;Yuma, AZ;AZ;*;*;*;*;*;*;*;*;0;0;*
425110;Yuma, AZ;AZ;*;*;*;*;1;2;1;0;0;0;*
443120;Yuma, AZ;AZ;1;2;2;2;3;3;3;0;0;0;*
454111;Yuma, AZ;AZ;1;1;2;1;1;*;*;*;*;*;*
51;Yuma, AZ;AZ;33;34;40;36;29;27;26;23;24;20;20
518;Yuma, AZ;AZ;1;*;1;1;3;4;4;0;0;0;*
52;Yuma, AZ;AZ;116;128;136;132;114;110;109;99;92;92;91
54151;Yuma, AZ;AZ;18;15;14;13;12;9;7;4;0;3;*
611420;Yuma, AZ;AZ;*;*;*;*;*;*;1;0;0;0;*
811212;Yuma, AZ;AZ;4;4;4;4;4;4;4;0;0;0;*
811213;Yuma, AZ;AZ;3;3;1;1;1;1;1;0;0;0;*
10;Fayetteville-Springdale-Rogers, AR-MO;AR;11582;11721;12033;11872;11466;10767;10044;9409;8959;8607;8093
11;Fayetteville-Springdale-Rogers, AR-MO;AR;87;85;81;80;76;78;83;0;0;0;83
323115;Fayetteville-Springdale-Rogers, AR-MO;AR;2;3;5;3;4;6;5;3;0;0;*
33411;Fayetteville-Springdale-Rogers, AR-MO;AR;*;*;*;*;*;*;*;*;*;0;*
423430;Fayetteville-Springdale-Rogers, AR-MO;AR;12;11;13;10;8;8;8;0;0;0;*
425110;Fayetteville-Springdale-Rogers, AR-MO;AR;3;2;3;3;2;2;2;0;4;0;*
443120;Fayetteville-Springdale-Rogers, AR-MO;AR;17;18;19;16;15;19;21;0;0;0;*
454111;Fayetteville-Springdale-Rogers, AR-MO;AR;18;18;9;6;5;4;3;0;0;0;*
51;Fayetteville-Springdale-Rogers, AR-MO;AR;169;179;176;174;168;177;168;149;143;144;136
511210;Fayetteville-Springdale-Rogers, AR-MO;AR;4;5;4;2;3;5;5;3;0;0;*
518;Fayetteville-Springdale-Rogers, AR-MO;AR;23;21;18;14;19;22;19;19;0;0;*
519130;Fayetteville-Springdale-Rogers, AR-MO;AR;8;9;5;4;*;*;*;*;*;*;*
52;Fayetteville-Springdale-Rogers, AR-MO;AR;616;639;669;658;645;592;545;481;459;0;*
522320;Fayetteville-Springdale-Rogers, AR-MO;AR;5;5;6;6;6;7;6;3;0;0;*
54151;Fayetteville-Springdale-Rogers, AR-MO;AR;163;163;172;163;130;108;88;91;0;0;*
611420;Fayetteville-Springdale-Rogers, AR-MO;AR;4;3;4;4;3;3;3;0;0;0;*
811212;Fayetteville-Springdale-Rogers, AR-MO;AR;17;16;15;14;11;9;9;8;0;6;*
811213;Fayetteville-Springdale-Rogers, AR-MO;AR;3;2;3;6;6;5;2;0;0;0;*
10;Fort Smith, AR-OK;AR;7032;7094;7022;6874;6681;6472;6356;6332;6248;6223;6167
11;Fort Smith, AR-OK;AR;52;50;42;42;43;43;45;50;0;0;53
323115;Fort Smith, AR-OK;AR;*;*;*;*;*;*;1;0;0;0;*
423430;Fort Smith, AR-OK;AR;3;3;3;3;3;3;3;0;0;0;*
425110;Fort Smith, AR-OK;AR;2;2;2;2;1;1;1;0;0;0;*
443120;Fort Smith, AR-OK;AR;8;7;6;7;8;9;9;0;0;0;*
454111;Fort Smith, AR-OK;AR;10;11;9;5;4;4;3;0;0;0;*
51;Fort Smith, AR-OK;AR;91;93;90;100;100;96;93;0;0;99;*
511210;Fort Smith, AR-OK;AR;3;2;1;2;2;1;*;*;0;0;*
518;Fort Smith, AR-OK;AR;6;4;5;4;9;8;7;0;0;0;*
519130;Fort Smith, AR-OK;AR;3;4;2;2;*;*;*;*;*;*;*
52;Fort Smith, AR-OK;AR;436;444;461;452;441;429;411;404;391;384;*
522320;Fort Smith, AR-OK;AR;1;*;*;*;*;*;*;*;*;*;*
54151;Fort Smith, AR-OK;AR;45;48;51;48;49;46;40;40;34;0;33
811212;Fort Smith, AR-OK;AR;5;4;2;3;3;2;4;3;0;0;*
811213;Fort Smith, AR-OK;AR;2;2;1;1;1;1;2;0;0;0;*
10;Hot Springs, AR;AR;3195;3265;3353;3328;3252;3058;2965;2945;2882;2803;2741
11;Hot Springs, AR;AR;20;23;29;32;38;38;35;37;38;36;36
323115;Hot Springs, AR;AR;*;*;*;0;1;1;1;*;*;*;*
423430;Hot Springs, AR;AR;1;1;*;1;1;1;1;0;0;*;*
443120;Hot Springs, AR;AR;4;5;7;5;5;2;3;5;5;5;6
454111;Hot Springs, AR;AR;7;6;5;4;4;4;3;0;0;0;*
51;Hot Springs, AR;AR;36;36;40;42;41;37;38;40;40;38;35
511210;Hot Springs, AR;AR;*;*;*;1;0;*;*;*;*;*;*
518;Hot Springs, AR;AR;4;3;4;5;7;7;6;6;0;0;*
519130;Hot Springs, AR;AR;3;3;3;2;*;*;*;*;*;*;*
52;Hot Springs, AR;AR;196;205;208;208;205;202;196;187;173;169;166
522320;Hot Springs, AR;AR;*;*;*;*;*;*;*;*;0;0;*
54151;Hot Springs, AR;AR;16;17;23;26;24;18;14;15;21;18;15
811212;Hot Springs, AR;AR;4;4;4;5;5;3;2;0;0;*;*
811213;Hot Springs, AR;AR;1;1;1;1;1;2;2;0;0;*;*
